Time (ms)	X (cm)	Y (cm)
0.	198.71	146.15
33.367	197.85	145.71
66.733	196.78	144.85
100.1	195.48	144.85
133.467	193.55	144.85
166.833	192.73	145.16
200.2	191.87	145.74
233.567	188.68	146.78
266.933	182.21	148.51
300.3	176.18	149.37
333.667	170.80	151.95
367.033	166.06	152.82
400.4	163.26	152.39
433.767	162.20	151.64
467.133	158.47	148.35
500.5	156.01	143.86
533.867	154.76	141.50
567.233	153.46	140.42
600.6	153.03	140.21
